Q1 (1 point),Q2 (1 point),Q3 (1 point),Q4 (1 point),Q5 (1 point),Q6 (1 point),Q7 (1 point),Q8 (1 point),Q9 (1 point),Q10 (1 point),Q11 (1 point),Q12 (1 point),Q13 (2 points),Student Assignment XID (DO NOT CHANGE)
1,0,1,1,1,0,1,1,1,0,0,0,2,urn:spip-sample:student:001
1,1,1,1,1,1,1,1,0,1,1,1,2,urn:spip-sample:student:002
1,1,1,1,1,1,1,1,1,0,1,1,1,urn:spip-sample:student:003
1,1,0,1,0,1,0,1,1,0,1,1,2,urn:spip-sample:student:004
1,0,1,1,1,1,1,1,0,0,1,1,2,urn:spip-sample:student:005
1,0,1,1,1,1,1,1,0,0.33,1,1,2,urn:spip-sample:student:006
1,0,1,1,1,1,1,1,1,0.33,1,1,2,urn:spip-sample:student:007
1,1,0.5,1,1,1,1,1,0,0,1,1,1,urn:spip-sample:student:008
1,1,1,1,1,0,1,1,1,0.33,1,1,2,urn:spip-sample:student:009
1,1,1,1,1,1,1,1,1,0.33,1,1,2,urn:spip-sample:student:010
1,1,1,1,0,1,0,1,0,0,1,1,2,urn:spip-sample:student:011
0,0,0,0,0,0,0,0,0,0,0,0,,urn:spip-sample:student:012
1,1,1,1,1,1,1,1,1,0.33,0.5,0,2,urn:spip-sample:student:013
0,0,0,0,0,1,0,0,1,0,0,1,2,urn:spip-sample:student:014
1,1,1,1,1,1,1,1,1,0.33,1,1,2,urn:spip-sample:student:015
0,0,0,0,1,0,0,0,1,0,1,0,0,urn:spip-sample:student:016
1,1,1,1,1,1,1,1,1,0,1,1,2,urn:spip-sample:student:017
1,1,1,0,1,1,0,1,1,0.33,0.5,0,0,urn:spip-sample:student:018
0,0,0,1,0,1,0,1,0,0,0,0,0,urn:spip-sample:student:019
1,1,1,1,1,1,1,1,1,1,1,1,2,urn:spip-sample:student:020
